1	A Place		-123.764	272.182	1,1,0	https://www.sarna.net/wiki/A_Place	116.370	U	U	U	U	U	U	U	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	FCL,Tamar March,Benfled Operational Area,Region 2	FCL,Tamar March,Benfled Operational Area,Region 2	FCL,Tamar March,Benfled Operational Area,Region 2	FCL,Tamar March,Benfled Operational Area,Region 2	FCL,Tamar March,Benfled Operational Area,Region 2	FCL,Tamar March,Benfled Operational Area,Region 2	FCL,Tamar March,Pandora Operational Area,Region 1	LA,Tamar March,Pandora Operational Area,Region 1	LA,Donegal Province,Pandora Theater,Arc-Royal Defense Cordon	LA,Donegal Province,Pandora Theater,Arc-Royal Defense Cordon	LA,Donegal Province,Pandora Theater,Arc-Royal Defense Cordon	LA,Donegal Province,Pandora Theater,Arc-Royal Defense Cordon	LA,Donegal Province,Pandora Theater,Arc-Royal Defense Cordon	LA,Donegal Province,Pandora Theater,Arc-Royal Defense Cordon	LA,Arc-Royal Theater	LA,Arc-Royal Theater	LA,Arc-Royal Theater	LA,Arc-Royal Theater	LA,Arc-Royal Theater	LC,Arc-Royal Theater	LC,Arc-Royal Theater	D(LC,CJF)	D(LC,CJF)	CJF	CJF
2	Aalzorg		583.881	256.931	1,1,0	https://www.sarna.net/wiki/Aalzorg	749.610	U	U	U	U	U	U	U	OA,Traders Domain	OA,Traders Domain	OA,Traders Domain	OA,Traders Domain	OA,Traders Domain	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
3	Abadan		-70.319	-95.949	1,1,0	https://www.sarna.net/wiki/Abadan	487.657	MR	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	FWL,Marik Commonwealth	MCM	MCM	RS,Prefecture VII	RS,Prefecture VII	RS,Prefecture VII	I	FWL,Clan Protectorate	FWL,Clan Protectorate
4	Abagnar		380.231	314.823	1,1,0	https://www.sarna.net/wiki/Abagnar	539.551	U	U	U	U	U	U	U	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture
5	Abbadiyah		-317.967	246.551	1,1,0	https://www.sarna.net/wiki/Abbadiyah	213.539						LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	FCL,Donegal March,Coventry Operational Area,Region 2	FCL,Donegal March,Coventry Operational Area,Region 2	FCL,Donegal March,Coventry Operational Area,Region 2	FCL,Donegal March,Coventry Operational Area,Region 2	FCL,Donegal March,Coventry Operational Area,Region 2	FCL,Donegal March,Coventry Operational Area,Region 2	FCL,Donegal March,Coventry Operational Area,Region 2	LA,Donegal March,Coventry Operational Area,Region 2	LA,Coventry Province	LA,Coventry Province	LA,Coventry Province	LA,Coventry Province	LA,Coventry Province	LA,Coventry Province	LA,Coventry Province	LA,Coventry Province	LA,Coventry Province	LA,Coventry Province	LA,Coventry Province	LC,Coventry Province	LC,Coventry Province	LC,Coventry Province	LC,Coventry Province	LC,Coventry Province	LC,Coventry Province
6	Abbeville		605.903	-39.852	1,1,0	https://www.sarna.net/wiki/Abbeville	870.997						FS,Draconis March,Woodbine Operational Area,Region 2	FS,Draconis March,Woodbine Operational Area,Region 2	FS,Draconis March,Woodbine Operational Area,Region 2	FS,Draconis March,Woodbine Operational Area,Region 2	FS,Draconis March,Woodbine Operational Area,Region 2	FS,Draconis March,Woodbine Operational Area,Region 2	FS,Draconis March,Woodbine Operational Area,Region 2	FS,Draconis March,Woodbine Operational Area,Region 4	FS,Draconis March,Woodbine Operational Area,Region 4	FS,Draconis March,Woodbine Operational Area,Region 4	FS,Draconis March,Woodbine Operational Area,Region 4	FS,Draconis March,Woodbine Operational Area,Kilbourne PDZ	FS,Draconis March,Woodbine Operational Area,Kilbourne PDZ	FCF,Draconis March,Woodbine Operational Area,Kilbourne PDZ	FCF,Draconis March,Woodbine Operational Area,Kilbourne PDZ	FCF,Draconis March,Woodbine Operational Area,Kilbourne PDZ	FCF,Draconis March,Woodbine Operational Area,Kilbourne PDZ	FCF,Draconis March,Woodbine Operational Area,Kilbourne PDZ	FCF,Draconis March,Woodbine Operational Area,Kilbourne PDZ	FCF,Draconis March,Woodbine Operational Area,Kilbourne PDZ	FS,Draconis March,Woodbine Operational Area,Kilbourne PDZ	FS,Draconis March,Woodbine Operational Area,Kilbourne PDZ	FS,Draconis March,Woodbine Operational Area,Kilbourne PDZ	FS,Draconis March,Woodbine Operational Area,Kilbourne PDZ	FS,Draconis March,Woodbine Operational Area,Kilbourne PDZ	FS,Draconis March,Woodbine Operational Area,Kilbourne PDZ	FS,Draconis March,Woodbine Operational Area,Kilbourne PDZ	FS,Draconis March,Woodbine Operational Area,Kilbourne PDZ	FS,Draconis March,Woodbine Operational Area,Kilbourne PDZ	FS,Draconis March,Woodbine Operational Area,Kilbourne PDZ	FS,Periphery March,Woodbine Operational Area,Kilbourne PDZ	FS,Periphery March,Woodbine Operational Area,Kilbourne PDZ	FS,Periphery March,Woodbine Operational Area,Kilbourne PDZ	FS,Periphery March,Woodbine Operational Area,Kilbourne PDZ	FS,Periphery March,Woodbine Operational Area,Kilbourne PDZ	FS,Periphery March,Woodbine Operational Area,Kilbourne PDZ	FS,Periphery March,Woodbine Operational Area,Kilbourne PDZ	FS,Periphery March,Woodbine Operational Area,Kilbourne PDZ
7	Abejorral		-299.341	127.388	1,1,0	https://www.sarna.net/wiki/Abejorral	294.795	U	U	U	U	U	U	U	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	FCL,Donegal March,Alarion Operational Area,Region 1	FCL,Donegal March,Alarion Operational Area,Region 1	FCL,Donegal March,Alarion Operational Area,Region 1	FCL,Donegal March,Alarion Operational Area,Region 1	FCL,Donegal March,Alarion Operational Area,Region 1	FCL,Donegal March,Alarion Operational Area,Region 1	FCL,Donegal March,Alarion Operational Area,Region 1	LA,Donegal March,Alarion Operational Area,Region 1	LA,Alarion Province	LA,Alarion Province	LA,Alarion Province	LA,Alarion Province	LA,Alarion Province	LA,Alarion Province	LA,Alarion Province	LA,Alarion Province	LA,Alarion Province	LA,Alarion Province	LA,Buena Province	LC,Buena Province	LC,Buena Province	LC,Buena Province	LC,Buena Province	LC,Buena Province	LC,Buena Province
8	Aberystwyth		-430.967	58.633	1,1,0	https://www.sarna.net/wiki/Aberystwyth	427.005	U	U	U	U	U	U	U	RW,Timbuktu Province	RW,Timbuktu Province	RW,Timbuktu Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	FCL,Periphery March,Venaria Operational Area,Region 2	FCL,Periphery March,Venaria Operational Area,Region 2	FCL,Periphery March,Venaria Operational Area,Region 2	FCL,Periphery March,Venaria Operational Area,Region 2	FCL,Periphery March,Venaria Operational Area,Region 2	FCL,Periphery March,Venaria Operational Area,Region 2	FCL,Periphery March,Venaria Operational Area,Region 2	LA,Periphery March,Venaria Operational Area,Region 2	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater	LA,Alarion Province,Timbuktu Theater,Buena Archonette	LA,Alarion Province,Timbuktu Theater,Buena Archonette	LA,Timbuktu Theater	LC,Timbuktu Theater	LC,Timbuktu Theater	LC,Timbuktu Theater	LC,Timbuktu Theater	LC,Florida Theater	LC,Florida Theater
9	Abiy Adi		349.466	314.567	1,1,0	https://www.sarna.net/wiki/Abiy_Adi	509.093	U	U	U	U	U	U	U	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture	DC,Pesht Military District,Ningxia Prefecture
10	Aboukir		-419.964	287.637	1,1,0	https://www.sarna.net/wiki/Aboukir	282.221	U	U	U	U	U	U	U	RW,Finmark Province	RW,Finmark Province	RW,Finmark Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	LC,Protectorate of Donegal,Coventry Province	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
11	Abramkovo		-330.860	-28.739	1,1,0	https://www.sarna.net/wiki/Abramkovo	449.015	U	U	U	U	U	U	U	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Alarion Province	LC,Protectorate of Donegal,Bolan Province	FCL,Tamarind March,Bolan Operational Area,Region 2	FCL,Tamarind March,Bolan Operational Area,Region 2	FCL,Tamarind March,Bolan Operational Area,Region 2	FCL,Tamarind March,Bolan Operational Area,Region 2	FCL,Tamarind March,Bolan Operational Area,Region 2	FCL,Tamarind March,Bolan Operational Area,Region 2	FCL,Tamarind March,Bolan Operational Area,Region 2	LA,Tamarind March,Bolan Operational Area,Region 2	LA,Bolan Province,Cavanaugh Theater	LA,Bolan Province,Cavanaugh Theater	LA,Bolan Province,Cavanaugh Theater	LA,Bolan Province,Cavanaugh Theater	LA,Bolan Province,Cavanaugh Theater	LA,Bolan Province,Cavanaugh Theater	LA,Bolan Province,Cavanaugh Theater	LA,Bolan Province,Dixie Theater	LA,Bolan Province,Dixie Theater	LA,Bolan Province,Dixie Theater	LA,Bolan Province,Dixie Theater	LC,Bolan Province,Dixie Theater	LC,Bolan Province,Dixie Theater	LC,Bolan Province,Cavanaugh Theater	LC,Bolan Province,Cavanaugh Theater	LC,Timbuktu Theater	FWL,Duchy of Tammarind-Abbey
